game_id,ply,url_ply,move,color,clock,eval,type_of_mistake,end_opening
"r3h9SiLI",49,"https://lichess.org/r3h9SiLI#49","Nxf6+","white",17163,575,"Blunder",0
"r3h9SiLI",50,"https://lichess.org/r3h9SiLI#50","Kd6","black",18115,798,"Inaccuracy",0
"r3h9SiLI",51,"https://lichess.org/r3h9SiLI#51","Qd3","white",14995,656,,0
"r3h9SiLI",52,"https://lichess.org/r3h9SiLI#52","Bg7","black",17963,837,,0
"r3h9SiLI",53,"https://lichess.org/r3h9SiLI#53","Qxd5+","white",14683,814,,0
"r3h9SiLI",54,"https://lichess.org/r3h9SiLI#54","Kc7","black",17803,832,,0
"r3h9SiLI",55,"https://lichess.org/r3h9SiLI#55","Qf7+","white",13963,836,,0
"r3h9SiLI",56,"https://lichess.org/r3h9SiLI#56","Kb6","black",17155,829,,0
"r3h9SiLI",57,"https://lichess.org/r3h9SiLI#57","Qxg7","white",13675,838,,0
"r3h9SiLI",58,"https://lichess.org/r3h9SiLI#58","Rhf8","black",16612,833,,0
"zGLRjJ4r",1,"https://lichess.org/zGLRjJ4r#1","e4","white",30003,18,,0
"zGLRjJ4r",2,"https://lichess.org/zGLRjJ4r#2","e5","black",30003,22,,0
"zGLRjJ4r",3,"https://lichess.org/zGLRjJ4r#3","Nc3","white",29899,8,,0
"zGLRjJ4r",4,"https://lichess.org/zGLRjJ4r#4","Nc6","black",29923,7,,0
"zGLRjJ4r",5,"https://lichess.org/zGLRjJ4r#5","f4","white",29659,-53,"Inaccuracy",0
"zGLRjJ4r",6,"https://lichess.org/zGLRjJ4r#6","exf4","black",29779,-29,,0
"zGLRjJ4r",7,"https://lichess.org/zGLRjJ4r#7","Nf3","white",29475,-34,,0
"zGLRjJ4r",8,"https://lichess.org/zGLRjJ4r#8","Nf6","black",29251,0,,0
"zGLRjJ4r",9,"https://lichess.org/zGLRjJ4r#9","Bb5","white",28827,-45,,0
"zGLRjJ4r",10,"https://lichess.org/zGLRjJ4r#10","a6","black",28899,-25,,0
"zGLRjJ4r",11,"https://lichess.org/zGLRjJ4r#11","Ba4","white",28507,-38,,0
"zGLRjJ4r",12,"https://lichess.org/zGLRjJ4r#12","Bc5","black",28467,32,"Inaccuracy",0
"zGLRjJ4r",13,"https://lichess.org/zGLRjJ4r#13","d4","white",27371,48,,0
"zGLRjJ4r",14,"https://lichess.org/zGLRjJ4r#14","Bb4","black",27883,46,,0
"zGLRjJ4r",15,"https://lichess.org/zGLRjJ4r#15","Bxf4","white",26651,-26,"Inaccuracy",0
"zGLRjJ4r",16,"https://lichess.org/zGLRjJ4r#16","Nxe4","black",26819,-25,,0
"zGLRjJ4r",17,"https://lichess.org/zGLRjJ4r#17","Qe2","white",25947,-176,"Mistake",0
"zGLRjJ4r",18,"https://lichess.org/zGLRjJ4r#18","Qe7","black",25411,-183,,1
"zGLRjJ4r",19,"https://lichess.org/zGLRjJ4r#19","Bxc7","white",25475,-278,"Inaccuracy",0
"zGLRjJ4r",20,"https://lichess.org/zGLRjJ4r#20","Nxc3","black",24507,-269,,0
"zGLRjJ4r",21,"https://lichess.org/zGLRjJ4r#21","Qxe7+","white",25371,-264,,0
"zGLRjJ4r",22,"https://lichess.org/zGLRjJ4r#22","Nxe7","black",22435,-260,,0
"zGLRjJ4r",23,"https://lichess.org/zGLRjJ4r#23","O-O","white",24763,-434,"Mistake",0
"zGLRjJ4r",24,"https://lichess.org/zGLRjJ4r#24","Nb5","black",21603,-301,"Inaccuracy",0
"zGLRjJ4r",25,"https://lichess.org/zGLRjJ4r#25","c3","white",23755,-440,"Inaccuracy",0
"zGLRjJ4r",26,"https://lichess.org/zGLRjJ4r#26","Bd6","black",21307,-265,"Mistake",0
"zGLRjJ4r",27,"https://lichess.org/zGLRjJ4r#27","Bxd6","white",23539,-378,"Inaccuracy",0
"zGLRjJ4r",28,"https://lichess.org/zGLRjJ4r#28","Nxd6","black",21147,-383,,0
"zGLRjJ4r",29,"https://lichess.org/zGLRjJ4r#29","Rfe1","white",23467,-396,,0
"zGLRjJ4r",30,"https://lichess.org/zGLRjJ4r#30","Nf5","black",20035,-314,"Inaccuracy",0
"zGLRjJ4r",31,"https://lichess.org/zGLRjJ4r#31","g4","white",23227,-367,,0
"zGLRjJ4r",32,"https://lichess.org/zGLRjJ4r#32","Nd6","black",19731,-372,,0
"zGLRjJ4r",33,"https://lichess.org/zGLRjJ4r#33","Re2","white",22051,-357,,0
"zGLRjJ4r",34,"https://lichess.org/zGLRjJ4r#34","f6","black",19571,74,"Blunder",0
"zGLRjJ4r",35,"https://lichess.org/zGLRjJ4r#35","Rae1","white",21715,65,,0
"zGLRjJ4r",36,"https://lichess.org/zGLRjJ4r#36","b5","black",17907,76,,0
"zGLRjJ4r",37,"https://lichess.org/zGLRjJ4r#37","Rxe7+","white",21011,72,,0
"zGLRjJ4r",38,"https://lichess.org/zGLRjJ4r#38","Kd8","black",17803,64,,0
"zGLRjJ4r",39,"https://lichess.org/zGLRjJ4r#39","Bb3","white",20827,74,,0
"zGLRjJ4r",40,"https://lichess.org/zGLRjJ4r#40","Bb7","black",17043,76,,0
"zGLRjJ4r",41,"https://lichess.org/zGLRjJ4r#41","Nh4","white",17147,79,,0
"zGLRjJ4r",42,"https://lichess.org/zGLRjJ4r#42","g6","black",15923,79,,0
"zGLRjJ4r",43,"https://lichess.org/zGLRjJ4r#43","a4","white",15939,19,"Inaccuracy",0
"zGLRjJ4r",44,"https://lichess.org/zGLRjJ4r#44","Kc7","black",14267,30,,0
"zGLRjJ4r",45,"https://lichess.org/zGLRjJ4r#45","axb5","white",15387,23,,0
"zGLRjJ4r",46,"https://lichess.org/zGLRjJ4r#46","axb5","black",13787,23,,0
"zGLRjJ4r",47,"https://lichess.org/zGLRjJ4r#47","Be6","white",15003,-10,,0
"zGLRjJ4r",48,"https://lichess.org/zGLRjJ4r#48","Bc8","black",10627,55,"Inaccuracy",0
"zGLRjJ4r",49,"https://lichess.org/zGLRjJ4r#49","Bd5","white",14163,52,,0
"zGLRjJ4r",50,"https://lichess.org/zGLRjJ4r#50","Ra7","black",9811,55,,0
"zGLRjJ4r",51,"https://lichess.org/zGLRjJ4r#51","Bc6","white",13539,-376,"Blunder",0
"zGLRjJ4r",52,"https://lichess.org/zGLRjJ4r#52","Re8","black",9059,27,"Blunder",0
"zGLRjJ4r",53,"https://lichess.org/zGLRjJ4r#53","Rxe8","white",12835,23,,0
"zGLRjJ4r",54,"https://lichess.org/zGLRjJ4r#54","Nxe8","black",9019,27,,0
"zGLRjJ4r",55,"https://lichess.org/zGLRjJ4r#55","Bxb5","white",11427,27,,0
"zGLRjJ4r",56,"https://lichess.org/zGLRjJ4r#56","Nd6","black",8107,28,,0
"zGLRjJ4r",57,"https://lichess.org/zGLRjJ4r#57","Bd3","white",10075,30,,0
"zGLRjJ4r",58,"https://lichess.org/zGLRjJ4r#58","Ra2","black",7963,40,,0
"zGLRjJ4r",59,"https://lichess.org/zGLRjJ4r#59","b3","white",9859,-1,,0
"zGLRjJ4r",60,"https://lichess.org/zGLRjJ4r#60","Bb7","black",7451,2,,0
"zGLRjJ4r",61,"https://lichess.org/zGLRjJ4r#61","c4","white",9067,-7,,0
"zGLRjJ4r",62,"https://lichess.org/zGLRjJ4r#62","f5","black",5891,66,"Inaccuracy",0
"zGLRjJ4r",63,"https://lichess.org/zGLRjJ4r#63","gxf5","white",8651,51,,0
"zGLRjJ4r",64,"https://lichess.org/zGLRjJ4r#64","g5","black",5411,60,,0
"zGLRjJ4r",65,"https://lichess.org/zGLRjJ4r#65","c5","white",5803,88,,0
"zGLRjJ4r",66,"https://lichess.org/zGLRjJ4r#66","Nc8","black",4051,556,"Blunder",0
"zGLRjJ4r",67,"https://lichess.org/zGLRjJ4r#67","Nf3","white",2883,-11,"Blunder",0
"zGLRjJ4r",68,"https://lichess.org/zGLRjJ4r#68","Bxf3","black",3811,2,,0
"zGLRjJ4r",69,"https://lichess.org/zGLRjJ4r#69","f6","white",2539,-1,,0
"zGLRjJ4r",70,"https://lichess.org/zGLRjJ4r#70","Rg2+","black",3171,-9,,0
"zGLRjJ4r",71,"https://lichess.org/zGLRjJ4r#71","Kf1","white",2339,-16,,0
"zGLRjJ4r",72,"https://lichess.org/zGLRjJ4r#72","Rxh2","black",2771,554,"Blunder",0
"zGLRjJ4r",73,"https://lichess.org/zGLRjJ4r#73","f7","white",2219,550,,0
"zGLRjJ4r",74,"https://lichess.org/zGLRjJ4r#74","Rh1+","black",2059,582,,0
"zGLRjJ4r",75,"https://lichess.org/zGLRjJ4r#75","Kf2","white",2083,579,,0
"zGLRjJ4r",76,"https://lichess.org/zGLRjJ4r#76","Rxe1","black",686,680,,0
"zGLRjJ4r",77,"https://lichess.org/zGLRjJ4r#77","Kxe1","white",1934,658,,0
"jcPpqeUR",1,"https://lichess.org/jcPpqeUR#1","e4","white",30003,18,,0
"jcPpqeUR",2,"https://lichess.org/jcPpqeUR#2","e5","black",30003,22,,0
"jcPpqeUR",3,"https://lichess.org/jcPpqeUR#3","Nc3","white",29851,8,,0
"jcPpqeUR",4,"https://lichess.org/jcPpqeUR#4","Nc6","black",29891,7,,0
"jcPpqeUR",5,"https://lichess.org/jcPpqeUR#5","Nf3","white",29603,6,,0
"jcPpqeUR",6,"https://lichess.org/jcPpqeUR#6","Nf6","black",29771,7,,0
"jcPpqeUR",7,"https://lichess.org/jcPpqeUR#7","Bb5","white",29387,4,,0
