game_id,puzzle_id,puzzle_rating,puzzle_initial_ply,puzzle_url
bfUa5ks9,yXVgT,1420,79,https://lichess.org/bfUa5ks9#80
ll0P6yZZ,KB8sb,1341,43,https://lichess.org/ll0P6yZZ#44
cqJC9EHb,2oyvc,1473,55,https://lichess.org/cqJC9EHb#56
JnZHlSP4,PV2GX,1119,23,https://lichess.org/JnZHlSP4#24
uUWku1BL,3PWPR,1315,61,https://lichess.org/uUWku1BL#62
CGY8VVTB,TCH0q,1307,39,https://lichess.org/CGY8VVTB#40
CdFx3fkI,Pa8BT,1087,26,https://lichess.org/CdFx3fkI#27
9Ea3twts,R7K5J,1180,36,https://lichess.org/9Ea3twts#37
pyGOrP40,JLBNM,1310,24,https://lichess.org/pyGOrP40#25
THYtdcsk,RyHlT,1322,34,https://lichess.org/THYtdcsk#35
0Zflypow,hSJsO,1070,102,https://lichess.org/0Zflypow#103
1EHQzPlp,ifyj2,1105,118,https://lichess.org/1EHQzPlp#119
azfX0NOv,NLvEN,1156,44,https://lichess.org/azfX0NOv#45
KAYENkVk,GWKvE,1174,116,https://lichess.org/KAYENkVk#117
OViouDzN,hUWTy,1212,62,https://lichess.org/OViouDzN#63
AQOTP3lp,vbH3G,1309,76,https://lichess.org/AQOTP3lp#77
i9iaXFZc,kO6lY,1345,60,https://lichess.org/i9iaXFZc#61
kOI7cx6Y,CsB2J,995,64,https://lichess.org/kOI7cx6Y#65
uVYKzqnN,Fo9bq,1263,72,https://lichess.org/uVYKzqnN#73
44lgyqli,nnxIt,1393,62,https://lichess.org/44lgyqli#63
R79Bix51,06XWX,1061,71,https://lichess.org/R79Bix51#72
xdapRB7O,nvO4C,1100,55,https://lichess.org/xdapRB7O#56
XoRIaYo3,q672B,1159,95,https://lichess.org/XoRIaYo3#96
CZvgAd3c,sDvLs,1213,101,https://lichess.org/CZvgAd3c#102
b2SPGg8M,as9k9,1257,53,https://lichess.org/b2SPGg8M#54
jzgbpQ8x,BSBsP,1286,65,https://lichess.org/jzgbpQ8x#66
Y8uKrUht,8UbdI,1307,41,https://lichess.org/Y8uKrUht#42
Pz338q7w,ftynk,1046,35,https://lichess.org/Pz338q7w#36
UGLBDk7J,8b7E3,1079,61,https://lichess.org/UGLBDk7J#62
6PTOa4Af,dBrJU,1086,57,https://lichess.org/6PTOa4Af#58
